Material Name,Quantity,Unit,Cost per Unit,Type,Category,Supplier,Status,Is Quote,Quote Date,Order Date,Supplier ID,Section,Subsection,Project Tier,Subcategory,ID
7393400 3 3-1/2X50 SILL SEALER,3,pieces,4.13,Building Materials,Dimensional Lumber,84 Lumber Co.,quoted,true,2024-10-02,,,FIRST FLOOR,FIRST FLOOR - WALLS,structural,Framing,FR4
2414001 356 2X4X140-5/8 KD SPF STUD,356,pieces,5.81,Building Materials,Dimensional Lumber,84 Lumber Co.,quoted,true,2024-10-02,,,FIRST FLOOR,FIRST FLOOR - WALLS,structural,Framing,FR4
